team,name,position,matches,goals,assists,status
Auxerre,G. Osho ,D,0,0,0,Injured
Auxerre,L. Coulibaly ,M,0,0,0,Injured
Auxerre,K. Danois ,M,0,0,0,Injured
Auxerre,D. Leon ,G,0,0,0,Injured
Brestois,R. Del Castillo,M,0,0,0,Injured
Brestois,B. Locko,D,0,0,0,Injured
Brestois,Jonas Martin,M,0,0,0,Injured
Brestois,J. Amavi,D,0,0,0,Injured
Le Havre,S. Ngoura,F,0,0,0,Injured
Le Havre,E.A.M. Sabbi,F,0,0,0,Injured
Le Havre,C. Operi,D,0,0,0,Injured
Le Havre,O. Targhalline,M,0,0,0,Injured
Le Havre,M. Bodmer,M,0,0,0,Injured
Le Havre,A. Ayew,F,0,0,0,Injured
Le Havre,D. Kuzyayev,M,0,0,0,Injured
Lens,R. Lascary,F,0,0,0,Injured
Lens,Ruben Aguilar,D,0,0,0,Injured
Lens,Martin Satriano,F,0,0,0,Injured
Lens,Wesley Said,F,0,0,0,Injured
Lens,Jimmy Cabot,F,0,0,0,Injured
Lens,J. Chavez,F,0,0,0,Injured
Lens,N. EI Aynaoui,M,0,0,0,Injured
Lens,D. Costa,M,0,0,0,Injured
Lens,K. Danso,D,0,0,0,Suspended
Lille,Tiago Santos,M,0,0,0,Injured
Lille,Ethan Mbappe,M,0,0,0,Injured
Lille,Nabil Bentaleb,M,0,0,0,Injured
Lille,Samuel Umtiti,D,0,0,0,Injured
Lille,E. Zhegrova,M,0,0,0,Injured
Lille,M. Fernandez-Pardo,F,0,0,0,Injured
Lyon,M. Caqueret,M,0,0,0,Injured
Marseille,Valentin Carboni,M,0,0,0,Injured
Marseille,Faris Moumbagna,F,0,0,0,Injured
Marseille,P. Lirola,D,0,0,0,Injured
Marseille,E.A Koum Mbondo,D,0,0,0,Injured
Marseille,A. Harit,M,0,0,0,Injured
Marseille,G. Kondogbia,M,0,0,0,Injured
Marseille,P. Hojbjerg,M,0,0,0,Injured
Monaco,Folarin Balogun,F,0,0,0,Injured
Monaco,Krepin Diatta,F,0,0,0,Injured
Monaco,R. Majecki,G,0,0,0,Injured
Monaco,C. Mawissa,D,0,0,0,Injured
Montpellier,Boubakar Kouyaté,D,0,0,0,Injured
Montpellier,C. Jullien,D,0,0,0,Injured
Montpellier,O. Maamma,F,0,0,0,Injured
Montpellier,A. Nordin,F,0,0,0,Injured
Montpellier,N. Maksimovic,D,0,0,0,Injured
Montpellier,G. Bares,M,0,0,0,Injured
Montpellier,J. Ndiaye,F,0,0,0,Injured
Nantes,Tino Kadewere,F,0,0,0,Injured
Nantes,F. Centonze,D,0,0,0,Injured
Nantes,P. Chirivella,D,0,0,0,Injured
Nice,Morgan Sanson,M,0,0,0,Injured
Nice,Ali Abdi,D,0,0,0,Injured
Nice,V. Orakpo ,F,0,0,0,Injured
Nice,J. Boga ,F,0,0,0,Injured
Nice,T. Louchet ,M,0,0,0,Injured
Nice,M. Brad ,D,0,0,0,Injured
Nice,T. Moffi ,F,0,0,0,Injured
Nice,P. Rosario ,M,0,0,0,Suspended
Reims,Abdoul Kone,M,0,0,0,Injured
Reims,R. Khadra,M,0,0,0,Injured
Reims,Mohammed Daramy,F,0,0,0,Injured
Reims,Y. Fofana,M,0,0,0,Injured
Rennes,Alidu Seidu,D,0,0,0,Injured
Rennes,D. Alemdar,G,0,0,0,Injured
Rennes,H. Meister,F,0,0,0,Injured
Saint-Etienne,B. Old,M,0,0,0,Injured
Saint-Etienne,I. Wadji,F,0,0,0,Injured
Saint-Etienne,Yvann Macon,D,0,0,0,Injured
Saint-Etienne,M. Amougou,M,0,0,0,Injured
Saint-Etienne,T. Monconduit,M,0,0,0,Injured
Saint-Etienne,I. Sissoko,F,0,0,0,Suspended
Strasbourg,S. Mara,F,0,0,0,Injured
Strasbourg,Alaa Bellaarouch,G,0,0,0,Injured
Strasbourg,C. Wiley,D,0,0,0,Injured
Strasbourg,Moise Sahi Dion,F,0,0,0,Injured
Strasbourg,A. Ouattara,M,0,0,0,Injured
Toulouse,V. Sierro,M,0,0,0,Injured
